naselje;grad_opcina;zupanija;stanovnistvo
Brinje;Brinje;Ličko-senjska županija;1250
Brinjeva Draga;Čabar;Primorsko-goranska županija;3
Brist;Gradac;Splitsko-dalmatinska županija;351
Bristivica;Seget;Splitsko-dalmatinska županija;275
Brič – Briz;Buje – Buie;Istarska županija;8
Bričanci;Svetvinčenat;Istarska županija;69
Briševo;Poličnik;Zadarska županija;745
Brištani;Drniš;Šibensko-kninska županija;149
Brkač;Motovun – Montona;Istarska županija;223
Brkiševina;Lekenik;Sisačko-moslavačka županija;59
Brlekovo;Konjščina;Krapinsko-zagorska županija;57
Brlenić;Krašić;Zagrebačka županija;185
Brlog;Otočac;Ličko-senjska županija;256
Brlog Ozaljski;Kamanje;Karlovačka županija;74
Brloška Dubrava;Otočac;Ličko-senjska županija;38
Brnaze;Sinj;Splitsko-dalmatinska županija;3124
Brnelići;Jelenje;Primorsko-goranska županija;78
Brnjavac;Gvozd;Sisačko-moslavačka županija;49
Brnjeuška;Glina;Sisačko-moslavačka županija;9
Brnjica;Šibenik;Šibensko-kninska županija;57
Brnobići;Buzet;Istarska županija;61
Brnobići;Kaštelir-Labinci – Castelliere-S. Domenica;Istarska županija;156
Broce;Ston;Dubrovačko-neretvanska županija;90
Brod Moravice;Brod Moravice;Primorsko-goranska županija;270
Brod na Kupi;Delnice;Primorsko-goranska županija;156
Brodarica;Šibenik;Šibensko-kninska županija;2611
Brodarovec;Maruševec;Varaždinska županija;194
Brodić;Ferdinandovac;Koprivničko-križevačka županija;63
Brodski Drenovac;Pleternica;Požeško-slavonska županija;532
Brodski Stupnik;Brodski Stupnik;Brodsko-posavska županija;1285
Brodski Varoš;Slavonski Brod;Brodsko-posavska županija;1829
Brodski Zdenci;Podcrkavlje;Brodsko-posavska županija;271
Broskvari;Višnjan – Visignano;Istarska županija;16
Brotnice;Konavle;Dubrovačko-neretvanska županija;29
Brotnja;Gračac;Zadarska županija;22
Brovinje;Raša;Istarska županija;71
Broćanac;Rakovica;Karlovačka županija;25
Bročice;Novska;Sisačko-moslavačka županija;787
Brođanci;Bizovac;Osječko-baranjska županija;454
Brođani;Karlovac;Karlovačka županija;38
Brseč;Mošćenička Draga;Primorsko-goranska županija;124
Brsečine;Dubrovnik;Dubrovačko-neretvanska županija;84
Brtonigla – Verteneglio;Brtonigla – Verteneglio;Istarska županija;705
Brubno;Glina;Sisačko-moslavačka županija;0
Brusići;Krk;Primorsko-goranska županija;43
Brusje;Hvar;Splitsko-dalmatinska županija;174
Brusnik;Pakrac;Požeško-slavonska županija;15
Bruvno;Gračac;Zadarska županija;46
Brušane;Gospić;Ličko-senjska županija;126
Bruška;Benkovac;Zadarska županija;105
Brzac;Krk;Primorsko-goranska županija;174
Brčevec;Vrbovec;Zagrebačka županija;469
Brčino;Sibinj;Brodsko-posavska županija;137
Brčići;Poreč – Parenzo;Istarska županija;173
Brčići;Tinjan;Istarska županija;78
Brđani;Pleternica;Požeško-slavonska županija;32
Brđani;Rešetari;Brodsko-posavska županija;202
Brđani Cesta;Sunja;Sisačko-moslavačka županija;94
Brđani Kosa;Sunja;Sisačko-moslavačka županija;69
Brđani Sokolovački;Sokolovac;Koprivničko-križevačka županija;49
Bršadin;Trpinja;Vukovarsko-srijemska županija;931
Brštanovo;Klis;Splitsko-dalmatinska županija;265
Bubani;Kanfanar;Istarska županija;58
Bubnjarački Brod;Žakanje;Karlovačka županija;117
Bubnjarci;Žakanje;Karlovačka županija;197
Bucalovići;Višnjan – Visignano;Istarska županija;1
Budak;Gospić;Ličko-senjska županija;126
Budak;Stankovci;Zadarska županija;342
Budakovac;Gradina;Virovitičko-podravska županija;194
Budanica;Suhopolje;Virovitičko-podravska županija;58
Budančevica;Kloštar Podravski;Koprivničko-križevačka županija;396
Budačka Rijeka;Krnjak;Karlovačka županija;166
Budaševo;Sisak;Sisačko-moslavačka županija;1373
Budenec;;Grad Zagreb;367
Budim Vivodinski;Ozalj;Karlovačka županija;10
Budimci;Podgorač;Osječko-baranjska županija;536
Budimiri;Trilj;Splitsko-dalmatinska županija;69
Budinjak;Samobor;Zagrebačka županija;10
Budinščak;Donja Voća;Varaždinska županija;97
Budinščina;Budinščina;Krapinsko-zagorska županija;510
Budislavec;Vidovec;Varaždinska županija;190
Budrovac;Đurđevac;Koprivničko-križevačka županija;277
Budrovac Lukački;Lukač;Virovitičko-podravska županija;103
Budrovci;Đakovo;Osječko-baranjska županija;1107
Buhača;Cetingrad;Karlovačka županija;30
Buinja;Dvor;Sisačko-moslavačka županija;1
Buinjski Riječani;Dvor;Sisačko-moslavačka županija;2
Buići;Poreč – Parenzo;Istarska županija;134
Buići;Župa dubrovačka;Dubrovačko-neretvanska županija;356
Bujarići;Višnjan – Visignano;Istarska županija;0
Bujavica;Lipik;Požeško-slavonska županija;22
Buje – Buie;Buje – Buie;Istarska županija;2087
Buk;Pleternica;Požeško-slavonska županija;168
Buk Vlaka;Opuzen;Dubrovačko-neretvanska županija;470
Bukevje;Orle;Zagrebačka županija;360
Bukevje;Sveti Ivan Zelina;Zagrebačka županija;84
Bukori;Vižinada – Visinada;Istarska županija;21
Bukov Vrh;Skrad;Primorsko-goranska županija;27
Bukovac Perjasički;Slunj;Karlovačka županija;1
Bukovac Perušićki;Perušić;Ličko-senjska županija;66
Bukovac Podvrški;Skrad;Primorsko-goranska županija;0
Bukovac Svetojanski;Jastrebarsko;Zagrebačka županija;74
Bukovački Antunovac;Nova Bukovica;Virovitičko-podravska županija;109
Bukovec;Selnica;Međimurska županija;168
Bukovec Zelinski;Sveti Ivan Zelina;Zagrebačka županija;356
Bukovica;Rešetari;Brodsko-posavska županija;130
Bukovica;Topusko;Sisačko-moslavačka županija;0
Bukovica Prekriška;Krašić;Zagrebačka županija;18
Bukovica Utinjska;Vojnić;Karlovačka županija;57
Buković;Benkovac;Zadarska županija;421
Bukovje Bistransko;Bistra;Zagrebačka županija;370
Bukovje Križevačko;Križevci;Koprivničko-križevačka županija;261
Bukovje Netretićko;Netretić;Karlovačka županija;49
Bukovje Podvrško;Samobor;Zagrebačka županija;25
Bukovlje;Bukovlje;Brodsko-posavska županija;1733
Bukovsko;Sisak;Sisačko-moslavačka županija;76
Bukovčak;Velika Gorica;Zagrebačka županija;61
Bukovčani;Lipik;Požeško-slavonska županija;14
Bukvik;Čačinci;Virovitičko-podravska županija;127
Bulinac;Nova Rača;Bjelovarsko-bilogorska županija;314
Bulić;Benkovac;Zadarska županija;125
Bulići;Ozalj;Karlovačka županija;3
Bunica;Senj;Ličko-senjska županija;66
Bunić;Udbina;Ličko-senjska županija;96
Bunjak;Sveti Ivan Zelina;Zagrebačka županija;123
Bunjani;Križ;Zagrebačka županija;581
Bunjevci;Vrbovsko;Primorsko-goranska županija;28
Burić Selo;Krnjak;Karlovačka županija;9
Burići;Kanfanar;Istarska županija;54
Buroli – Buroli;Buje – Buie;Istarska županija;73
Busnovi;Brestovac;Požeško-slavonska županija;72
Butkovec;Breznički Hum;Varaždinska županija;200
Butkovići;Svetvinčenat;Istarska županija;208
Butoniga;Pazin;Istarska županija;66
Butori;Višnjan – Visignano;Istarska županija;3
Buzadovac;Gradec;Zagrebačka županija;98
Buzdohanj;Čavle;Primorsko-goranska županija;1648
Buzet;Buzet;Istarska županija;2339
Buzeta;Glina;Sisačko-moslavačka županija;50
Buzin;;Grad Zagreb;1074
Buzin;Skrad;Primorsko-goranska županija;1
Bučje;Pakrac;Požeško-slavonska županija;13
Bučje;Pleternica;Požeško-slavonska županija;253
Bučje Gorjansko;Drenje;Osječko-baranjska županija;62
Bušetina;Špišić Bukovica;Virovitičko-podravska županija;671
Buševec;Velika Gorica;Zagrebačka županija;1018
Bušević;Donji Lapac;Ličko-senjska županija;4
Bušin;Pregrada;Krapinsko-zagorska županija;127
Bužim;Gospić;Ličko-senjska županija;73
Bužinija – Businìa;Novigrad – Cittanova;Istarska županija;977
Bzenica;Pleternica;Požeško-slavonska županija;79
Cabuna;Suhopolje;Virovitičko-podravska županija;606
Cage;Okučani;Brodsko-posavska županija;290
Caginec;Ivanić-Grad;Zagrebačka županija;512
Cancini;Poreč – Parenzo;Istarska županija;186
Careva Draga;Krašić;Zagrebačka županija;3
Carevdar;Križevci;Koprivničko-križevačka županija;350
Carevići;Vrbovsko;Primorsko-goranska županija;13
Carevo Polje;Josipdol;Karlovačka županija;162
Carevo Selo;Barilović;Karlovačka županija;34
Cargovec;Vidovec;Varaždinska županija;366
Caska;Novalja;Ličko-senjska županija;24
Cavtat;Konavle;Dubrovačko-neretvanska županija;2189
Cebovec;Lobor;Krapinsko-zagorska županija;42
Celine;Jastrebarsko;Zagrebačka županija;66
Celine;Podturen;Međimurska županija;316
Celine;Vrbovec;Zagrebačka županija;873
Celine Goričke;Marija Gorica;Zagrebačka županija;119
Celine Samoborske;Samobor;Zagrebačka županija;324
Cepeliš;Petrinja;Sisačko-moslavačka županija;38
Cepidlak;Sveti Ivan Žabno;Koprivničko-križevačka županija;146
Cera;Unešić;Šibensko-kninska županija;25
Cere;Sveta Nedelja;Istarska županija;36
Cere;Žminj;Istarska županija;140
Ceremošnjak;Našice;Osječko-baranjska županija;81
Cerik;Vrbovec;Zagrebačka županija;38
Cerina;Čazma;Bjelovarsko-bilogorska županija;89
Cerion;Višnjan – Visignano;Istarska županija;44
Cerić;Nuštar;Vukovarsko-srijemska županija;1292
Cerjani;Kaštelir-Labinci – Castelliere-S. Domenica;Istarska županija;22
Cerje;;Grad Zagreb;408
Cerje;Vrbovec;Zagrebačka županija;195
Cerje Jesenjsko;Jesenje;Krapinsko-zagorska županija;148
Cerje Letovanićko;Lekenik;Sisačko-moslavačka županija;40
Cerje Nebojse;Maruševec;Varaždinska županija;401
Cerje Pokupsko;Pokupsko;Zagrebačka županija;68
Cerje Samoborsko;Samobor;Zagrebačka županija;338
Cerje Tužno;Ivanec;Varaždinska županija;159
Cerje Vivodinsko;Ozalj;Karlovačka županija;22
Cerna;Cerna;Vukovarsko-srijemska županija;3019
Cernik;Cernik;Brodsko-posavska županija;1426
Cernik;Čavle;Primorsko-goranska županija;1274
Cernik;Žumberak;Zagrebačka županija;5
Cernička Šagovina;Cernik;Brodsko-posavska županija;206
Cerovac;Bizovac;Osječko-baranjska županija;10
Cerovac;Gračac;Zadarska županija;2
Cerovac;Jakšić;Požeško-slavonska županija;191
Cerovac Barilovićki;Barilović;Karlovačka županija;91
Cerovac Vukmanićki;Karlovac;Karlovačka županija;787
Cerovački Galovići;Duga Resa;Karlovačka županija;59
Cerovica;Samobor;Zagrebačka županija;4
Cerovljani;Hrvatska Dubica;Sisačko-moslavačka županija;125
Cerovlje;Cerovlje;Istarska županija;197
Cerovnik;Josipdol;Karlovačka županija;131
Cerovski Vrh;Velika Gorica;Zagrebačka županija;90
Cesarica;Karlobag;Ličko-senjska županija;110
Cesarska Ves;Klanjec;Krapinsko-zagorska županija;11
Cestica;Cestica;Varaždinska županija;479
Cetina;Civljane;Šibensko-kninska županija;124
Cetingrad;Cetingrad;Karlovačka županija;293
Cetinovec;Zlatar;Krapinsko-zagorska županija;115
Cetinski Varoš;Cetingrad;Karlovačka županija;15
Cicvare;Pakrac;Požeško-slavonska županija;0
Cicvare;Skradin;Šibensko-kninska županija;12
Ciglena;Bjelovar;Bjelovarsko-bilogorska županija;278
Ciglenica;Garešnica;Bjelovarsko-bilogorska županija;283
Ciglenica;Popovača;Sisačko-moslavačka županija;101
Ciglenica Zagorska;Sveti Križ Začretje;Krapinsko-zagorska županija;551
Ciglenik;Kutjevo;Požeško-slavonska županija;94
Ciglenik;Oriovac;Brodsko-posavska županija;133
Cigrovec;Pregrada;Krapinsko-zagorska županija;360
Cikote;Pakrac;Požeško-slavonska županija;10
Cirkovljan;Prelog;Međimurska županija;694
Cirkvena;Sveti Ivan Žabno;Koprivničko-križevačka županija;507
Cista Provo;Cista Provo;Splitsko-dalmatinska županija;404
Cista Velika;Cista Provo;Splitsko-dalmatinska županija;441
Civljane;Civljane;Šibensko-kninska županija;47
Cokuni;Marčana;Istarska županija;69
Colnari;Brod Moravice;Primorsko-goranska županija;0
Cremušina;Veliki Grđevac;Bjelovarsko-bilogorska županija;1
Cres;Cres;Primorsko-goranska županija;2185
Cret Bizovački;Bizovac;Osječko-baranjska županija;485
Cret Viljevski;Viljevo;Osječko-baranjska županija;51
Crevarska Strana;Gvozd;Sisačko-moslavačka županija;101
Crikvenica;Crikvenica;Primorsko-goranska županija;6239
Crivac;Muć;Splitsko-dalmatinska županija;290
Crklada;Vižinada – Visinada;Istarska županija;122
Crkovec;Lepoglava;Varaždinska županija;141
Crkvari;Orahovica;Virovitičko-podravska županija;112
Crkveni Bok;Sunja;Sisačko-moslavačka županija;75
Crkveni Vrhovci;Požega;Požeško-slavonska županija;18
Crljenci;Brestovac;Požeško-slavonska županija;4
Crljenik;Stankovci;Zadarska županija;123
Crna Draga;Lasinja;Karlovačka županija;114
Crna Klada;Našice;Osječko-baranjska županija;0
Crna Mlaka;Jastrebarsko;Zagrebačka županija;23
Crnac;Crnac;Virovitičko-podravska županija;407
Crnac;Sisak;Sisačko-moslavačka županija;656
Crni;Raša;Istarska županija;20
Crni Dabar;Karlobag;Ličko-senjska županija;0
Crni Kal;Senj;Ličko-senjska županija;61
Crni Lazi;Čabar;Primorsko-goranska županija;88
Crni Lug;Delnice;Primorsko-goranska županija;209
Crni Potok;Podcrkavlje;Brodsko-posavska županija;0
Crni Potok;Topusko;Sisačko-moslavačka županija;100
Crno;Novi Vinodolski;Primorsko-goranska županija;8
Crno;Zadar;Zadarska županija;622
Crno Kamanje;Generalski Stol;Karlovačka županija;15
Crno Vrelo;Slunj;Karlovačka županija;6
Crveni Vrh – Monte Rosso;Umag – Umago;Istarska županija;177
Cubinec;Križevci;Koprivničko-križevačka županija;492
Cugovec;Gradec;Zagrebačka županija;417
Cukrići;Svetvinčenat;Istarska županija;172
Culibrki;Netretić;Karlovačka županija;4
Cunj;Buzet;Istarska županija;15
Curkovec;Sveti Ivan Zelina;Zagrebačka županija;69
Cvetišće;Ozalj;Karlovačka županija;0
Cvetkovec;Rasinja;Koprivničko-križevačka županija;154
Cvetković;Jastrebarsko;Zagrebačka županija;549
Cvetković Brdo;Velika Gorica;Zagrebačka županija;25
Cvetlin;Bednja;Varaždinska županija;251
Cvetnić Brdo;Pokupsko;Zagrebačka županija;21
Cvijanović Brdo;Slunj;Karlovačka županija;0
Cvitani;Višnjan – Visignano;Istarska županija;20
Cvitović;Slunj;Karlovačka županija;234
Dabar;Hrvace;Splitsko-dalmatinska županija;14
Dabar;Otočac;Ličko-senjska županija;59
Dabašnica;Gračac;Zadarska županija;1
Dabrina;Glina;Sisačko-moslavačka županija;54
Dajla – Daila;Novigrad – Cittanova;Istarska županija;353
Dalj;Erdut;Osječko-baranjska županija;2877
Damalj;Vrbovsko;Primorsko-goranska županija;19
Danci;Vižinada – Visinada;Istarska županija;17
Dane;Lanišće;Istarska županija;6
Dane;Samobor;Zagrebačka županija;7
Dani;Bosiljevo;Karlovačka županija;1
Danilo;Šibenik;Šibensko-kninska županija;319
Danilo Biranj;Šibenik;Šibensko-kninska županija;416
Danilo Kraljice;Šibenik;Šibensko-kninska županija;87
Dančanje;Ston;Dubrovačko-neretvanska županija;31
Dančulovići;Ozalj;Karlovačka županija;19
Dapci;Čazma;Bjelovarsko-bilogorska županija;184
Dapčevački Brđani;Grubišno Polje;Bjelovarsko-bilogorska županija;41
Daranovci;Brestovac;Požeško-slavonska županija;160
Darda;Darda;Osječko-baranjska županija;4151
Darkovac;Čaglin;Požeško-slavonska županija;13
Daruvar;Daruvar;Bjelovarsko-bilogorska županija;7440
Daruvarski Brestovac;Končanica;Bjelovarsko-bilogorska županija;546
Daruvarski Vinogradi;Daruvar;Bjelovarsko-bilogorska županija;182
Daskatica;Štefanje;Bjelovarsko-bilogorska županija;88
Dautan;Nova Rača;Bjelovarsko-bilogorska županija;245
Davor;Davor;Brodsko-posavska županija;2025
Dazlina;Tisno;Šibensko-kninska županija;46
Deanovec;Ivanić-Grad;Zagrebačka županija;503
Deanovići;Petrinja;Sisačko-moslavačka županija;20
Debeljak;Sukošan;Zadarska županija;895
Debeljuhi;Žminj;Istarska županija;113
Debelo Brdo;Udbina;Ličko-senjska županija;47
Debelo Brdo I;Gospić;Ličko-senjska županija;56
Debelo Brdo II;Gospić;Ličko-senjska županija;4
Dedin;Delnice;Primorsko-goranska županija;154
Dedina;Sveti Petar Orehovec;Koprivničko-križevačka županija;193
Dekanovec;Dekanovec;Međimurska županija;739
Deklevi;Višnjan – Visignano;Istarska županija;15
Deklešanec;Gornja Rijeka;Koprivničko-križevačka županija;112
Deklići;Kaštelir-Labinci – Castelliere-S. Domenica;Istarska županija;34
Dekovići;Poreč – Parenzo;Istarska županija;44
Delači;Brod Moravice;Primorsko-goranska županija;9
Delić Poljana;Cetingrad;Karlovačka županija;8
Delići;Vrsar – Orsera;Istarska županija;21
Delkovec;Mače;Krapinsko-zagorska županija;112
Delnice;Delnice;Primorsko-goranska županija;3861
Delovi;Novigrad Podravski;Koprivničko-križevačka županija;169
Demerje;;Grad Zagreb;737
Dereza;Pakrac;Požeško-slavonska županija;10
Dereza;Čazma;Bjelovarsko-bilogorska županija;194
Derežani;Ivanić-Grad;Zagrebačka županija;214
Deringaj;Gračac;Zadarska županija;68
Dervišaga;Požega;Požeško-slavonska županija;732
Desinić;Desinić;Krapinsko-zagorska županija;330
Desinić Gora;Desinić;Krapinsko-zagorska županija;98
Desmerice;Ogulin;Karlovačka županija;231
Desne;Kula Norinska;Dubrovačko-neretvanska županija;111
Desni Degoj;Glina;Sisačko-moslavačka županija;53
Desni Dubrovčak;Martinska Ves;Sisačko-moslavačka županija;65
Desni Štefanki;Lasinja;Karlovačka županija;211
Desno Sredičko;Lasinja;Karlovačka županija;156
Desno Trebarjevo;Martinska Ves;Sisačko-moslavačka županija;273
Desno Željezno;Martinska Ves;Sisačko-moslavačka županija;127
Desprim;;Grad Zagreb;343
Detkovac;Gradina;Virovitičko-podravska županija;204
Dežanovac;Dežanovac;Bjelovarsko-bilogorska županija;608
Deževci;Brestovac;Požeško-slavonska županija;119
Dicmo Ercegovci;Dicmo;Splitsko-dalmatinska županija;121
Dicmo Kraj;Dicmo;Splitsko-dalmatinska županija;689
Dicmo Krušvar;Dicmo;Splitsko-dalmatinska županija;457
Dicmo Osoje;Dicmo;Splitsko-dalmatinska županija;387
Dicmo Prisoje;Dicmo;Splitsko-dalmatinska županija;610
Dicmo Sičane;Dicmo;Splitsko-dalmatinska županija;451
Dicmo Sušci;Dicmo;Splitsko-dalmatinska županija;90
Dijakovac;Grubišno Polje;Bjelovarsko-bilogorska županija;20
Dijaneš;Vrbovec;Zagrebačka županija;158
Dijankovec;Križevci;Koprivničko-križevačka županija;140
Diklići;Višnjan – Visignano;Istarska županija;50
Dinjevac;Pitomača;Virovitičko-podravska županija;362
Dinjiška;Pag;Zadarska županija;111
Dioš;Končanica;Bjelovarsko-bilogorska županija;121
Divjake;Skrad;Primorsko-goranska županija;28
Divojevići;Lećevica;Splitsko-dalmatinska županija;32
Divoselo;Gospić;Ličko-senjska županija;1
Divoš;Ernestinovo;Osječko-baranjska županija;54
Divoševci;Velika Kopanica;Brodsko-posavska županija;262
Divulje;Trogir;Splitsko-dalmatinska županija;52
Divuša;Dvor;Sisačko-moslavačka županija;39
Divšići;Marčana;Istarska županija;162
Dišnik;Garešnica;Bjelovarsko-bilogorska županija;320
Djedina Rijeka;Čaglin;Požeško-slavonska županija;99
Dnopolje;Donji Lapac;Ličko-senjska županija;63
Dobra Kuća;Đulovac;Bjelovarsko-bilogorska županija;16
Dobra Voda;Benkovac;Zadarska županija;79
